Track Name,Genre,Tempo,Duration,Mood,Energy Level,Rating,User Action
The Creeper,Rock,132.0,7.3,Sad,2.9,3.9,Liked
Some Other Funk,Electronic,172.0,6.2,Energetic,4.8,4.0,Liked
Guess Who's Coming To Dinner,Reggae,132.8,5.0,Happiness,6.6,3.9,Skipped
Satin Doll,Jazz,98.8,3.5,Happiness,1.3,3.2,Skipped
Vesuvius 79 A.D.,Rock,169.4,7.0,Happiness,3.5,3.5,Liked
Everybody's Free (To Feel Good),Pop,130.1,3.5,Mixed,3.7,3.5,Skipped
Cold Hands,Rock,124.6,3.5,Energetic,0.3,4.2,Skipped
Patterns,Rock,115.7,3.6,Sad,7.6,3.9,Skipped
New England,Jazz,106.7,3.6,Sad,8.0,4.1,Skipped
One Of A Kind (Love Affair),RnB,176.7,3.6,Happiness,4.3,3.3,Skipped
Ice Cube,Electronic,125.0,7.1,Energetic,7.1,3.5,Liked
Power Shift,RnB,120.0,3.5,Happiness,9.8,4.1,Skipped
You Set the Scene,Rock,96.1,6.8,Energetic,5.1,3.2,Liked
Afro Left,Electronic,130.0,7.6,Energetic,,3.5,Liked
Behind That Locked Door,Rock,107.7,3.5,Energetic,3.0,3.4,Skipped
Rave Is King,Electronic,128.0,6.8,Mixed,8.6,3.3,Liked
Bijou,Rock,72.7,3.6,Happiness,3.9,3.5,Skipped
"Sleep After Toyle, Port After Stormie Seas",Electronic,91.0,7.0,Energetic,1.2,2.5,Liked
Jane Became Insane,Rock,145.7,6.2,Energetic,9.2,3.8,Liked
Icct Hedral,Electronic,141.8,6.1,Energetic,8.7,3.4,Liked
Freak Scene,Rock,154.0,3.7,Mixed,5.0,3.9,Skipped
Rozz Box,Electronic,125.0,4.6,Energetic,3.7,3.4,Liked
Suicide,Rock,138.0,7.2,Energetic,1.6,3.5,Liked
The Shaggy Show,Rap,86.2,7.4,Mixed,6.8,4.0,Liked
Tricky Tricky,Electronic,143.0,6.0,Sad,7.3,4.1,Liked
Manipulation,Electronic,132.1,5.8,Energetic,7.5,3.7,Liked
Keep You Hird,Electronic,109.9,6.6,Happiness,3.4,2.6,Liked
Snakepit,Rock,174.2,7.0,Mixed,6.2,3.1,Liked
Consider This,Rock,139.7,3.6,Happiness,7.0,3.9,Skipped
Soldier On,Rock,80.7,5.9,Mixed,4.4,3.8,Liked
Kemistry,Electronic,165.6,6.8,Happiness,8.0,3.5,Liked
Diskobox,Rock,174.5,3.6,Happiness,4.3,3.8,Skipped
Vesaisen Sota,Rock,170.0,3.7,Happiness,9.7,4.0,Skipped
Big Brothel,Electronic,150.0,5.1,Energetic,3.9,3.8,Skipped
I'm Waiting,Rock,143.8,4.5,Happiness,9.3,4.1,Skipped
"Stately, Yes.",Electronic,127.0,6.0,Happiness,4.6,2.7,Liked
Dark Horse,Electronic,131.9,3.6,Energetic,5.7,3.8,Skipped
Antimental,RnB,124.0,6.3,Happiness,6.1,3.4,Liked
Schizo,RnB,112.5,3.5,Mixed,9.4,3.4,Skipped
Agnus Dei,Pop,88.8,6.5,Mixed,2.1,3.0,Liked
Amateur Hour,Rock,147.7,4.3,Mixed,8.3,3.5,Skipped
Tides (Peshay & Flytronix Remix),Electronic,148.0,7.0,Happiness,6.6,3.4,Liked
Love Will Save You,Rock,105.1,5.3,Happiness,5.8,3.5,Liked
Funky Ride,Rap,144.2,6.5,Energetic,5.8,3.7,Liked
Don't Look Down,Rock,128.0,5.1,Mixed,4.3,3.9,Skipped
To Enter Your Mountain,Rock,127.5,6.5,Energetic,1.4,3.6,Liked
Gotta Keep Moving,Country,130.0,3.5,Mixed,9.2,4.1,Skipped
Looters' Follies,Rock,139.2,7.6,Happiness,6.4,3.8,Liked
Alcoolic,Electronic,130.0,4.2,Mixed,1.6,3.6,Liked
From Memory (Matrix Remix),Electronic,174.0,7.3,Mixed,9.1,4.1,Liked
Cubicle,Electronic,131.9,6.9,Mixed,4.9,2.6,Liked
Song for Myla Goldberg,Rock,122.2,3.6,Happiness,5.3,3.7,Skipped
Slow Chemical,Rock,81.9,7.5,Happiness,8.2,4.0,Skipped
Don't Sell Your Dreams,Rock,113.1,6.7,Happiness,0.4,2.0,Liked
Busy Child,Electronic,125.0,7.4,Mixed,3.9,3.8,Liked
Transient,Electronic,74.4,4.5,Mixed,3.3,3.3,Liked
Glass To The Arson,Rock,91.8,3.5,Energetic,8.2,4.0,Skipped
I'll Be Gone,Country,140.0,6.2,Energetic,1.6,4.1,Skipped
Opus Eclipse,RnB,130.0,3.7,Happiness,7.8,3.8,Skipped
Enchanted,Rock,82.0,5.9,Energetic,6.2,4.1,Liked
Blipstream,Electronic,140.1,6.9,Happiness,5.1,3.4,Liked
Right Girl,Pop,89.0,3.6,Happiness,9.2,4.3,Skipped
Like a California King,Rock,181.4,3.6,Mixed,8.6,3.1,Skipped
Fine Young Cannibals,Rock,117.4,6.5,Happiness,6.1,3.5,Liked
Aesis Lilim,Rock,125.4,6.0,Sad,3.6,4.1,Liked
Enigmatism,Pop,75.0,4.2,Sad,1.5,2.4,Skipped
The Great Drive By,Electronic,87.7,7.7,Energetic,2.9,2.7,Liked
Sim Gishel,Electronic,75.0,6.3,Mixed,3.0,3.5,Liked
Time Will Tell,RnB,160.7,3.5,Energetic,2.5,2.6,Skipped
Thai Noodles,Rock,115.2,3.6,Energetic,9.8,4.1,Skipped
Master Passion Greed,RnB,90.0,6.0,Happiness,2.3,4.1,Liked
Time to Find Me (AFX Fast mix),Electronic,107.0,7.6,Mixed,4.8,3.0,Liked
Music Will Not Last,RnB,66.4,7.3,Mixed,6.6,3.6,Skipped
Plain Parade,Rock,154.0,7.3,Mixed,3.3,4.2,Skipped
Glam Bucket,Electronic,126.0,5.8,Mixed,4.3,3.1,Liked
Pagan Baby,Rock,103.9,6.4,Mixed,0.1,3.8,Liked
Full Range Madness,Electronic,131.0,7.0,Mixed,1.4,3.6,Liked
Direct Hit,Rock,153.3,3.5,Mixed,3.4,4.2,Skipped
Parade Of The Dead,Rap,138.0,3.6,Mixed,4.3,4.3,Skipped
Love and Affection,Pop,104.0,6.2,Energetic,1.3,3.9,Liked
Years,Country,99.0,6.4,Mixed,1.1,3.7,Liked
A Bigger Mood,Rock,149.2,5.5,Mixed,4.6,4.2,Skipped
Use Your Brain,Jazz,179.1,5.8,Sad,4.7,4.1,Liked
What Is Wrong,Electronic,126.0,3.5,Mixed,5.8,3.7,Skipped
Can We Find A Reason?,Rock,117.3,6.5,Energetic,5.9,3.8,Liked
Astrosapiens,Electronic,99.8,6.8,Sad,2.7,3.1,Liked
Mr. Loverman,Reggae,172.6,3.5,Energetic,7.2,3.6,Skipped
More Like Her,Country,132.7,3.5,Mixed,3.9,3.8,Skipped
This Sweet Love (Prins Thomas Sneaky Edit),Electronic,115.0,7.2,Mixed,4.3,3.1,Liked
Elysium,Jazz,159.5,5.9,Mixed,4.8,4.0,Liked
The Code Is Red... Long Live The Code,RnB,116.1,3.5,Happiness,10.0,4.2,Skipped
Unflug,Electronic,131.9,5.0,Mixed,4.9,3.5,Liked
Small Song IV,Electronic,91.1,3.7,Energetic,3.8,2.6,Skipped
Leather,Pop,144.1,3.5,,4.7,3.7,Skipped
Twoism,Electronic,95.1,4.3,Happiness,4.9,3.0,Liked
Mad About You,Rock,170.4,3.7,Happiness,7.3,3.7,Skipped
For the Love of Ivy,Rock,175.3,6.8,Mixed,8.2,3.1,Liked
Don't Blame Your Daughter (Diamonds),Rock,74.1,3.6,Mixed,5.4,3.8,Skipped
T Bone,Rock,155.0,3.6,Happiness,3.2,3.8,Skipped
The Great Exchange,Rock,137.9,3.5,Mixed,7.2,3.7,Skipped
Mercy,RnB,130.0,3.7,Happiness,4.8,4.1,Skipped
100 Games Of Solitaire,Rock,96.0,3.6,Energetic,0.5,3.6,Skipped
Calculation Theme,Rock,59.3,5.5,Happiness,0.9,2.6,Skipped
Inner Light Spectrum,Rock,130.2,3.7,Happiness,4.9,3.4,Skipped
Sepia 807,Electronic,127.0,6.1,Mixed,4.5,3.0,Liked
Prayer in Passing,Rock,126.0,6.4,Happiness,2.3,3.0,Liked
Abacaxi Fever,Electronic,146.0,6.7,Mixed,4.3,3.6,Liked
Quiet Time,RnB,176.0,5.9,Energetic,6.2,3.2,Liked
A Dream Within A Dream,Rock,83.1,3.6,Mixed,2.0,2.9,Skipped
Pi,Pop,100.1,6.2,Energetic,3.7,2.6,Liked
Last Year's Snow,Rock,125.1,3.6,Happiness,2.5,4.0,Skipped
Still Loving You,Country,108.2,6.4,Energetic,4.0,3.2,Liked
She Blinded Me With Science,Folk,128.7,3.7,Mixed,1.4,3.3,Skipped
Nothing Compares,Pop,135.7,3.6,Mixed,4.5,3.8,Skipped
Androgynous Mind,Rock,148.6,3.5,Happiness,7.7,3.4,Skipped
La Passion,Pop,129.1,6.0,Mixed,6.5,3.6,Liked
Played-A-Live (The Bongo Song),Pop,138.0,6.9,Energetic,2.5,3.5,Liked
The Pimp and the Priest,Rock,125.0,6.0,Happiness,5.6,3.8,Liked
In Every Dream Home a Heartache,Rock,135.4,6.3,Happiness,4.7,3.5,Liked
Always The Love Songs,Country,150.0,3.7,Sad,1.5,4.2,Skipped
Old Movies,Rock,131.9,5.8,Happiness,5.9,3.5,Liked
Down By The Sea,Rock,132.0,6.1,Sad,8.4,4.0,Liked
Pay For It,Rock,,3.6,Energetic,0.3,4.0,Skipped
Capturing Moods,Rock,82.2,3.6,Mixed,6.2,3.9,Skipped
Buzzin',Rap,93.0,3.5,Happiness,5.8,3.7,Skipped
Per Aspera Ad Astra,RnB,125.5,6.6,Mixed,4.9,4.0,Liked
Sea Ghost,Rock,122.0,5.5,Sad,5.0,3.6,Skipped
Moon Sequence,Electronic,96.0,4.6,Mixed,5.1,3.7,Liked
Wing Body Wing,Electronic,125.0,7.4,Sad,6.3,3.1,Liked
Kuru/Speak Like A Child,Jazz,140.3,7.7,Energetic,3.8,3.2,Liked
Sleepinside,Electronic,128.0,5.9,Energetic,3.5,3.2,Liked
Gods of War,Punk,108.0,4.6,Mixed,9.1,4.0,Liked
Here In The Real World,Country,86.9,3.6,Mixed,3.7,3.5,Skipped
Sponsored By Destiny,Electronic,124.0,6.0,Energetic,1.8,4.0,Liked
Poppiholla,Electronic,128.0,3.7,Mixed,1.3,4.0,Skipped
Life Is Full of Possibilities,Electronic,111.8,5.2,Mixed,3.6,2.9,Liked
Page of Cups,Pop,154.0,7.0,Mixed,5.3,3.2,Liked
Like An Angel Passing Through My Room,Pop,107.2,3.6,Mixed,0.4,1.5,Skipped
Now Is Here,Folk,127.1,3.5,Happiness,0.5,1.9,Skipped
Caramel,Jazz,100.8,7.6,Mixed,3.1,2.8,Liked
Statutory Ape,RnB,106.3,3.7,Mixed,0.6,4.0,Skipped
Reanimator,Jazz,164.9,6.6,Happiness,8.9,3.6,Liked
Hiding All Away,Rock,175.7,6.5,Mixed,8.6,4.1,Liked
Levitation Nation,Rock,134.9,7.4,Mixed,4.1,3.7,Skipped
M. Shepard,Rock,169.2,7.8,Sad,2.1,4.1,Skipped
Shoot Me Again,RnB,111.4,7.5,Happiness,4.1,4.1,Liked
Who Will Decide,RnB,93.8,3.5,Mixed,9.9,4.2,Skipped
"Come On, Come Out",Pop,121.9,5.8,Happiness,6.1,4.0,Skipped
Athair Ar Neamh,Pop,81.6,3.7,Energetic,0.8,1.9,Skipped
Suicide Trees,RnB,132.0,6.4,Mixed,4.3,2.7,Liked
I Don't Wanna Talk About It,Rap,83.7,3.6,Mixed,4.9,3.6,Skipped
Porch,Rock,135.7,3.5,Mixed,0.9,3.6,Skipped
Cool Monsoon (Weather Storm),Electronic,165.8,7.2,Mixed,3.3,3.4,Liked
Out of My Mind,Pop,81.0,3.6,Happiness,5.5,3.9,Skipped
Don't Be Stupid (You Know I Love You),Country,122.1,3.6,Happiness,6.6,3.8,Skipped
Wolkenbruch,Electronic,122.0,4.4,Mixed,5.1,3.3,Liked
Lydia,Rock,100.0,3.5,Energetic,4.5,3.8,Skipped
Flowers and Silence,Electronic,67.1,5.8,Sad,4.4,3.6,Liked
We Gathered In Spring,Rock,157.9,3.6,Mixed,3.6,3.3,Skipped
Earth Song,Pop,138.4,6.8,Mixed,4.4,3.7,Liked
Anstromm-Feck 4,Electronic,100.0,3.5,Mixed,9.9,3.2,Skipped
White Belly,Rock,171.0,3.6,Energetic,5.5,3.4,Skipped
Lonely Town,Jazz,100.0,3.5,Mixed,9.3,4.0,Skipped
Lonely Carousel,Rock,102.5,3.6,Energetic,3.8,3.4,Skipped
Penthouse Pauper,Rock,93.0,3.6,Energetic,7.3,3.7,Skipped
Is This How You Feel?,Punk,184.9,3.6,Mixed,1.8,3.7,Skipped
Ten Dollar High,Jazz,90.3,3.7,Mixed,5.9,3.3,Skipped
Blue Moon Revisited (Song For Elvis),Country,114.6,6.8,Mixed,3.6,2.6,Liked
Arms Tonite,Rock,139.8,3.6,Sad,6.5,4.1,Skipped
Dr. L'Ling,Rock,161.4,6.8,Energetic,4.5,3.8,Liked
Salvador,Folk,145.0,3.5,Energetic,3.6,4.1,Skipped
Error 404,Electronic,149.9,3.6,Happiness,6.0,3.8,Skipped
Who Stole The Sun From Its Place In My Heart?,Folk,141.0,6.2,Mixed,4.7,3.4,Liked
Mind Eye,Electronic,158.8,7.1,Sad,5.8,3.6,Liked
The Creature Walks,Rock,101.5,3.6,Energetic,8.7,3.3,Skipped
God Is in the Radio,Rock,116.1,6.1,Happiness,6.9,4.0,Liked
End of the Affair,Rock,136.1,7.8,Happiness,3.7,3.4,Liked
Redneck Woman,Country,184.9,3.7,Energetic,8.2,3.9,Skipped
GNG BNG,Electronic,96.9,3.6,Energetic,9.4,4.1,Skipped
Northstar,Electronic,165.1,6.2,Mixed,4.3,3.2,Liked
So Good,Rap,85.4,3.6,Energetic,0.7,4.1,Skipped
Empty Opening,RnB,119.0,7.7,Happiness,1.9,3.8,Liked
Cruel Reminder,Rock,127.2,6.1,Mixed,4.7,3.7,Liked
Cominagetcha,Electronic,120.0,7.0,Mixed,3.1,3.8,Liked
The Move,Rap,99.9,3.6,Sad,1.8,3.5,Skipped
Light From Above,RnB,185.0,5.8,Happiness,3.4,4.1,Liked
Anders als gedacht,Rock,159.9,3.7,Happiness,6.7,3.9,Skipped
Chaka Demus,Rock,125.0,3.6,Happiness,2.2,4.1,Skipped
The Songless Bird,RnB,101.7,7.4,Mixed,1.9,3.7,Liked
The Lovecats,Rock,91.9,3.7,Happiness,3.3,3.9,Skipped
My Half,Electronic,174.9,7.1,Energetic,2.9,4.5,Liked
When The Dying Calls,RnB,145.3,3.5,Mixed,4.0,3.6,Skipped
Willful Suspension of Disbelief,Rock,138.6,3.6,Energetic,4.2,3.3,Skipped
The Monolith,RnB,129.6,3.7,Happiness,4.0,2.9,Skipped
Chelsea Dagger,Rock,154.7,4.2,Energetic,7.5,4.0,Skipped
Eriatarka,Rock,158.0,6.3,Energetic,3.9,4.3,Liked
True to Life,Electronic,123.0,6.7,Happiness,9.5,3.9,Liked
Corso,Electronic,125.0,6.8,Happiness,3.8,3.9,Liked
Foley Room,Electronic,145.2,3.6,Energetic,9.4,3.5,Skipped
Beneath The Burning Tree,Rock,178.1,3.6,Energetic,2.1,4.2,Skipped
One More Day,RnB,125.3,3.6,Happiness,7.4,4.1,Skipped
Beware of the Bird,Electronic,125.0,6.7,Mixed,8.5,3.6,Liked
Geppetto,RnB,115.0,6.9,Energetic,3.8,4.1,Liked
Wake Up Alone,RnB,102.6,3.7,Mixed,5.2,4.0,Skipped
I.D.I.O.T.,Rock,94.5,3.6,Energetic,8.6,4.1,Skipped
Asilos Magdalena,Rock,141.0,6.2,Happiness,3.7,3.6,Liked
Cfern,Electronic,67.0,6.7,Energetic,9.1,3.7,Liked
And I Walk With Them,RnB,131.5,6.6,Energetic,7.1,3.8,Liked
Get Me,Electronic,143.1,5.9,Happiness,8.2,4.0,Liked
Skinny Boy,Rock,157.6,3.5,Mixed,5.8,3.8,Skipped
Deep Waters,Jazz,153.7,6.6,Happiness,5.4,3.2,Liked
Sunset,Rock,120.0,6.3,Mixed,4.4,3.4,Liked
Light Inside,Rock,90.4,3.6,Happiness,0.6,4.1,Skipped
Coming Around Again,Pop,138.2,3.6,Mixed,5.6,3.8,Skipped
Inch'Allah,RnB,141.9,3.5,Happiness,4.9,4.1,Skipped
Through With Love,RnB,82.7,4.3,Happiness,6.7,3.9,Skipped
Brother Bleed Brother,Rock,175.0,3.7,Happiness,3.8,4.1,Skipped
Daffodil Lament,Rock,174.2,6.1,Energetic,4.9,3.5,Liked
Speedy's Coming,Rock,146.8,3.6,Happiness,4.5,3.8,Skipped
Forgotten Worlds,Electronic,102.0,7.6,Energetic,1.6,3.2,Liked
Tired Of Hanging Around,Rock,115.8,3.6,Mixed,2.4,4.2,Skipped
Searching With My Good Eye Closed,Rock,125.4,6.5,Mixed,6.9,3.1,Liked
Lines In Sand,Rock,188.0,6.0,Happiness,5.8,3.7,Liked
Start-Stop,Jazz,92.9,6.6,Energetic,4.8,3.0,Liked
I Get By,Rock,84.0,3.6,Mixed,4.3,4.1,Skipped
Sheepdog,Rock,151.6,3.6,Mixed,1.5,4.0,Skipped
Yes I Am,Pop,121.6,6.3,Happiness,5.8,3.6,Liked
Challengers,Rock,83.3,4.1,Happiness,3.9,3.5,Skipped
Zombie Attack,RnB,175.9,3.5,Energetic,9.9,4.1,Skipped
#41,Rock,107.4,6.7,Sad,2.6,3.7,Liked
